Fantastic 4,Complete one course of each category,https://upload.wikimedia.org/wikipedia/commons/2/2d/Fantastic_Four_Logo.png?20160213014052,400
Daredevil,Complete all available courses,https://seeklogo.com/images/D/daredevil-logo-C3AA584D2E-seeklogo.com.png,2000
The Dark Knight,Complete a course related to cyberSecurity,https://www.freepnglogos.com/uploads/batman-begins-logo-png-20.png,100
Cyber Guardian,Complete any 2 cyber security courses,https://halo.wiki.gallery/images/c/c4/HTMCC_Foil_Badge.png,500
Cortana,Complete any one AI course,,100
Noble 6,Complete any 6 courses,,800
The flash,Complete a course in 24 hours.,https://th.bing.com/th?id=OIP.5ZyfOHZlYtqGwi6UjkhfHwAAAA&w=250&h=250&c=8&rs=1&qlt=90&o=6&dpr=1.3&pid=3.1&rm=2,300
Data sorcerer,Complete any one Data science course,https://th.bing.com/th?id=OIP.665BtHSRngjBbTq0ZzxEzgHaHb&w=249&h=250&c=8&rs=1&qlt=90&o=6&dpr=1.3&pid=3.1&rm=2,150
Iron Legion,Complete all AI courses,https://th.bing.com/th?id=OIP.vPTDnkORpMUMJHTYvQEzegHaHX&w=250&h=249&c=8&rs=1&qlt=90&o=6&dpr=1.3&pid=3.1&rm=2,1200
Mirage,Start 2 courses within 24 hours,https://th.bing.com/th?id=OIP.X66Nwu-awNnhAl6nKWXEqAHaHa&w=250&h=250&c=8&rs=1&qlt=90&o=6&dpr=1.3&pid=3.1&rm=2,250
Octane,Complete 2 courses in 24 hours,https://static.wikia.nocookie.net/apexlegends_gamepedia_en/images/c/c5/Portrait_Octane_full.png/revision/latest/scale-to-width-down/120?cb=20191020033025,500
Crypto,Verify your email,https://th.bing.com/th?id=OIP.62_U2YjGz_uuircBxzEpxQHaHH&w=254&h=245&c=8&rs=1&qlt=90&o=6&dpr=1.3&pid=3.1&rm=2,50
